Estuary,Year,Nutrients,Phytoplankton
1,1980,61.27565396,348.3701094
1,1981,59.5081966,330.2995952
1,1982,51.93640116,296.2357378
1,1983,60.32593032,347.0596485
1,1984,68.22357958,391.5456195
1,1985,55.38390939,318.8226173
1,1986,62.33899212,348.9034199
1,1987,57.30782797,335.874332
1,1988,61.21902735,358.5310321
1,1989,70.13197103,395.6763579
1,1990,57.70372812,329.5821022
1,1991,62.2903252,349.1144092
1,1992,59.35717317,339.3408054
1,1993,67.09142317,368.4173162
1,1994,65.9059222,369.6885145
1,1995,61.57210658,351.8967274
1,1996,56.40918867,315.9125972
1,1997,59.56491675,348.7597277
1,1998,54.15200413,308.81039
1,1999,59.16964996,333.00231
1,2000,58.018229,325.8043067
1,2001,63.05779145,362.2653718
1,2002,57.81460769,331.8228884
1,2003,60.16083375,346.7548444
1,2004,61.00522638,350.7226821
1,2005,64.26572984,354.1714105
1,2006,68.96513701,392.4007759
1,2007,62.83199943,350.1242197
1,2008,60.33289085,346.2237934
1,2009,55.8656144,326.7549263
2,1980,104.2237295,563.0833672
2,1981,100.1784243,531.5988813
2,1982,87.69954279,467.6512957
2,1983,98.98055511,525.3608862
2,1984,97.06344751,524.4397296
2,1985,95.94491252,516.0376009
2,1986,93.84669414,511.1566082
2,1987,87.84244791,472.7213132
2,1988,103.2391011,555.888059
2,1989,91.22020587,497.153162
2,1990,97.46224016,536.5197635
2,1991,99.00572796,533.7044024
2,1992,99.23610812,531.4642313
2,1993,97.04343728,529.7628747
2,1994,98.2210793,533.5230553
2,1995,93.29051965,507.8922161
2,1996,95.87853556,517.5152494
2,1997,99.03386493,533.1301176
2,1998,86.33176542,461.8914928
2,1999,92.69214274,501.4237499
2,2000,98.10931171,542.0870565
2,2001,87.53983173,471.0221883
2,2002,94.69193655,516.020533
2,2003,91.31955481,499.318679
2,2004,89.39325105,487.7473723
2,2005,89.8390788,488.1806737
2,2006,93.88391534,507.8866853
2,2007,101.189765,542.3921636
2,2008,97.4159928,528.7149804
2,2009,90.54031358,497.4881831
3,1980,89.35826652,568.2660052
3,1981,86.94722807,544.9419582
3,1982,90.91518217,568.1669318
3,1983,88.99491408,556.7498443
3,1984,84.4522908,536.9119444
3,1985,90.77162685,582.6493757
3,1986,87.11301165,540.3383326
3,1987,96.32386606,620.5179509
3,1988,92.40915211,592.3089284
3,1989,85.29256097,534.2661012
3,1990,95.68263217,610.2806794
3,1991,88.64466694,564.6260364
3,1992,91.20794133,578.5826301
3,1993,94.5200027,597.6696697
3,1994,97.37842533,621.8012097
3,1995,85.34395101,543.75853
3,1996,91.76529829,574.5922959
3,1997,85.01622643,548.0494576
3,1998,80.48623275,522.0674976
3,1999,86.58179095,546.6889118
3,2000,92.14249531,581.1817811
3,2001,84.25788342,539.2271237
3,2002,88.41572935,551.1378435
3,2003,79.09085612,499.999
3,2004,82.68068858,517.8421812
3,2005,89.57538135,569.4655086
3,2006,89.66817266,552.2857553
3,2007,81.52034839,509.3321744
3,2008,79.42268466,510.1115673
3,2009,95.50026497,622.6606846
4,1980,64.34638245,272.0694092
4,1981,68.96767037,300.7909619
4,1982,68.78740663,302.1258813
4,1983,68.0324439,292.6483698
4,1984,66.20797399,283.5309971
4,1985,63.73737388,275.1315326
4,1986,60.04974654,252.1899012
4,1987,69.72136397,303.8526021
4,1988,64.97367102,292.6381751
4,1989,71.18667928,309.6324854
4,1990,63.9373585,278.4432945
4,1991,71.01671096,316.742793
4,1992,60.90177473,261.4828975
4,1993,61.58076639,257.5060882
4,1994,63.18177901,272.4285986
4,1995,64.31125399,268.3590208
4,1996,71.57670058,305.4497733
4,1997,61.38223476,269.4826359
4,1998,65.32717966,283.3607008
4,1999,62.76734962,282.4607203
4,2000,69.66123912,306.6226427
4,2001,66.23061477,289.8875368
4,2002,63.80873352,275.7402904
4,2003,70.45018418,309.3664596
4,2004,62.07919018,255.3385635
4,2005,71.86228003,315.4291838
4,2006,69.59520698,308.6858602
4,2007,62.63069846,274.8341959
4,2008,70.92002254,300.2866059
4,2009,71.22459741,321.0765573
5,1980,85.49316767,461.6780793
5,1981,80.74955043,435.9324903
5,1982,80.57335701,428.6509064
5,1983,78.88301071,427.2965457
5,1984,83.9476911,450.7377003
5,1985,78.92876573,428.1168381
5,1986,92.74539622,489.8769617
5,1987,90.92414872,491.6234506
5,1988,83.66999403,453.1307189
5,1989,86.68949923,471.5224697
5,1990,83.04207793,453.8000748
5,1991,85.61590958,465.8485662
5,1992,84.4750034,453.8577784
5,1993,82.62166241,455.6947827
5,1994,81.71001198,444.618961
5,1995,87.11040049,472.1463127
5,1996,86.15769403,467.3104876
5,1997,83.92870499,436.586144
5,1998,83.82197476,459.0629206
5,1999,87.08442062,469.1735439
5,2000,85.21228531,465.4255006
5,2001,85.48934068,468.1374707
5,2002,86.34461378,465.5366091
5,2003,83.29888019,449.9118946
5,2004,92.1536076,494.5722989
5,2005,88.84447478,481.6772429
5,2006,83.46855953,454.8869141
5,2007,82.12405331,438.4158018
5,2008,87.52217828,471.632206
5,2009,87.687715,475.1690404
6,1980,75.33383347,383.1714723
6,1981,66.41365344,341.1522131
6,1982,73.65611449,376.2292045
6,1983,86.14762089,425.2231907
6,1984,84.02729501,418.7891487
6,1985,74.90488653,375.1583109
6,1986,72.60515809,360.0909264
6,1987,71.04091985,362.0446393
6,1988,78.45663111,386.5635009
6,1989,71.30909855,360.9976324
6,1990,75.5487803,378.8507383
6,1991,77.22270685,388.5806404
6,1992,70.5179215,350.8011818
6,1993,68.82119664,347.9457398
6,1994,68.32879059,342.2463337
6,1995,65.10673331,327.3451193
6,1996,68.11423708,343.9789456
6,1997,67.48518387,345.2582925
6,1998,73.22728454,369.5854333
6,1999,68.73407439,350.1700289
6,2000,71.20765836,374.8590303
6,2001,64.64986486,321.8025901
6,2002,80.80094032,401.248661
6,2003,79.68185973,396.576961
6,2004,72.80793151,358.4580553
6,2005,77.89190525,388.7916983
6,2006,73.27156731,366.108423
6,2007,70.09534738,348.518325
6,2008,71.57863919,366.1782136
6,2009,77.89642535,382.7229374
7,1980,93.81038584,479.9687228
7,1981,94.52119129,465.4300167
7,1982,94.21833615,484.2241798
7,1983,93.2454614,463.4886346
7,1984,95.03855734,467.3242941
7,1985,88.92824948,451.5486483
7,1986,86.14073213,430.8315135
7,1987,91.18257303,458.4583461
7,1988,99.92582797,506.9387003
7,1989,93.61710299,481.6602322
7,1990,99.4675221,498.8709945
7,1991,98.36712303,501.6264922
7,1992,85.22742062,426.3869765
7,1993,93.33624544,473.2267062
7,1994,90.72291634,455.8034001
7,1995,94.45106849,480.1209711
7,1996,92.43470536,461.6076223
7,1997,98.36665475,494.910694
7,1998,91.05649151,458.8474368
7,1999,97.82506354,494.338026
7,2000,95.92317978,471.9276151
7,2001,95.24877671,492.9789349
7,2002,83.99542456,408.1849348
7,2003,80.93190128,402.5030652
7,2004,97.47991407,494.2662415
7,2005,91.69236116,463.0958136
7,2006,102.0025853,512.2177827
7,2007,93.0413926,472.0302348
7,2008,92.88150087,460.5321393
7,2009,99.24725564,496.707982
8,1980,81.29119623,392.6896101
8,1981,79.52689376,388.319555
8,1982,83.32228873,397.5304622
8,1983,80.01297477,382.5840794
8,1984,76.0176167,366.4592285
8,1985,82.96275352,402.9325761
8,1986,82.35623469,402.7284581
